RANK,NAME,COINS_URL,PRICE,DIRECT_VOLUME,TOTAL_VOLUME,TIER_VOLUME,MARKET_CAP,RATING,PRICE_CHANGE,CHART
1,Bitcoin-BTC,https://www.cryptocompare.com/coins/btc/overview/USD,"$ 20,440.56",$ 1.36 B,$ 8.75 B,$ 8.58 B,$ 389.80 B,B+,"['$ 20,443.60', '$ 1,075.19', '$ 0.9996', '$ 0.9988', '$ 0.3168', '$ 31.30', '$ 0.9999', '$ 214.49', '$ 0.4830', '$ 0.06000', '$ 15.83', '$ 6.386', '$ 7.232', '$ 119.06', '$ 46.22', '$ 0.05619', '$ 0.3946', '$ 4.530', '$ 3.349', '$ 0.00000810', '$ 6.362', '$ 0.4822', '$ 0.9274', '$ 0.2356', '$ 0.03310', '$ 3.598', '$ 0.8523', '$ 111.32', '$ 0.8350', '$ 0.1111', '$ 1.197', '$ 1.382', '$ 0.2457', '$ 0.02310', '$ 0.7564', '$ 13.69', '$ 51.20', '$ 0.3096', '$ 8.110', '$ 1.706', '$ 0.1144', '$ 3.903', '$ 24.16', '$ 5.587', '$ 5.315', '$ 62.21', '$ 0.002963', '$ 57.39', '$ 0.3702', '$ 0.1125', '$ 0.02684', '$ 1.336', '$ 0.9998', '$ 0.9098', '$ 5.402', '$ 0.3397', '$ 9.041', '$ 0.4371', '$ 0.009129', '$ 0.09363', '$ 54.15', '$ 0.07403', '$ 0.3391', '$ 20,474.81', '$ 8.171', '$ 0.00005857', '$ 2.909', '$ 1.553', '$ 11.09', '$ 0.0001114', '$ 0.02544', '$ 0.006835', '$ 1,837.46', '$ 0.8931', '$ 0.6070', '$ 0.2638', '$ 1.323', '$ 0.04651', '$ 0.6520', '$ 0.04594', '$ 1.045', '$ 0.04776', '$ 0.9770', '$ 1.856', '$ 0.06680', '$ 0.2125', '$ 766.36', '$ 0.3654', '$ 0.02570', '$ 2.679', '$ 0.01312', '$ 0.9999', '$ 1.150', '$ 43.12', '$ 0.005908', '$ 0.02000', '$ 0.5810', '$ 0.7390', '$ 0.1806', '$ 0.2192']",https://images.cryptocompare.com/sparkchart/BTC/USD/latest.png?ts=1655492400
2,Ethereum-ETH,https://www.cryptocompare.com/coins/eth/overview/USD,"$ 1,074.99",$ 662.35 M,$ 5.02 B,$ 5.01 B,$ 130.30 B,B+,"['$ 1.36 B', '$ 662.41 M', '$ 2.29 M', '$ 615.17 M', '$ 92.79 M', '$ 217.51 M', '$ 39.76 M', '$ 31.41 M', '$ 80.16 M', '$ 30.89 M', '$ 46.36 M', '$ 42.29 M', '$ 38.21 M', '$ 34.56 M', '$ 29.56 M', '$ 39.27 M', '$ 37.05 M', '$ 8.99 M', '$ 2.67 M', '$ 23.20 M', '$ 22.74 M', '$ 2.97 M', '$ 12.94 M', '$ 7.88 M', '$ 335.69 k', '$ 22.26 M', '$ 2.47 M', '$ 4.05 M', '$ 15.63 M', '$ 15.28 M', '$ 93.08 k', '$ 12.28 M', '$ 807.20 k', '$ 2.44 M', '$ 4.56 M', '$ 3.15 M', '$ 974.82 k', '$ 10.14 M', '$ 1.27 M', '$ 342.19', '$ 4.74 M', '$ 6.29 M', '$ 10.71 M', '-', '$ 2.23 M', '$ 2.62 M', '-', '$ 9.52 M', '$ 6.04 M', '$ 0', '-', '$ 5.72 M', '$ 70.21 k', '-', '$ 5.42 M', '-', '$ 255.69 k', '$ 2.29 M', '$ 3.56 M', '$ 813.40 k', '$ 128.57 k', '-', '$ 1.70 M', '$ 4.34 M', '$ 1.41 M', '$ 507.72 k', '$ 32.87', '$ 91.23 k', '$ 2.31 M', '$ 0', '-', '$ 1.23 M', '$ 601.42 k', '$ 3.65 M', '$ 2.78 M', '$ 2.40 M', '-', '$ 9,317.37', '$ 3.89 M', '-', '$ 4,164.00', '$ 878.89 k', '$ 5.39 M', '$ 2.10 M', '$ 725.16 k', '-', '$ 3.52 M', '$ 119.45 k', '$ 825.84 k', '$ 1.70 M', '-', '$ 5.99 M', '$ 1.60 M', '$ 1.35 M', '$ 4,352.33', '$ 413.62 k', '$ 9.08 M', '-', '-', '$ 0']",https://images.cryptocompare.com/sparkchart/ETH/USD/latest.png?ts=1655492400
3,BUSD-BUSD,https://www.cryptocompare.com/coins/busd/overview/USD,$ 0.9996,$ 2.29 M,$ 1.02 B,$ 1.02 B,$ 17.70 B,,"['$ 8.76 B', '$ 5.02 B', '$ 1.02 B', '$ 940.82 M', '$ 734.70 M', '$ 610.78 M', '$ 507.57 M', '$ 484.24 M', '$ 413.79 M', '$ 345.35 M', '$ 208.79 M', '$ 215.12 M', '$ 190.98 M', '$ 194.39 M', '$ 183.67 M', '$ 144.86 M', '$ 140.55 M', '$ 126.96 M', '$ 117.06 M', '$ 108.84 M', '$ 92.86 M', '$ 83.30 M', '$ 82.74 M', '$ 80.15 M', '$ 72.60 M', '$ 80.24 M', '$ 69.13 M', '$ 67.12 M', '$ 67.82 M', '$ 61.98 M', '$ 57.04 M', '$ 55.86 M', '$ 53.66 M', '$ 51.74 M', '$ 51.39 M', '$ 51.91 M', '$ 47.02 M', '$ 45.57 M', '$ 41.76 M', '$ 41.34 M', '$ 38.48 M', '$ 38.29 M', '$ 36.40 M', '$ 36.10 M', '$ 34.66 M', '$ 34.44 M', '$ 32.92 M', '$ 32.91 M', '$ 32.28 M', '$ 32.27 M', '$ 31.49 M', '$ 31.46 M', '$ 31.04 M', '$ 30.88 M', '$ 28.12 M', '$ 27.71 M', '$ 29.57 M', '$ 26.51 M', '$ 26.46 M', '$ 26.83 M', '$ 26.09 M', '$ 25.70 M', '$ 25.11 M', '$ 24.69 M', '$ 24.22 M', '$ 23.88 M', '$ 23.83 M', '$ 23.48 M', '$ 23.45 M', '$ 21.09 M', '$ 20.67 M', '$ 20.55 M', '$ 20.14 M', '$ 19.87 M', '$ 19.84 M', '$ 19.36 M', '$ 19.03 M', '$ 18.17 M', '$ 17.84 M', '$ 17.79 M', '$ 17.18 M', '$ 17.05 M', '$ 16.83 M', '$ 15.94 M', '$ 15.68 M', '$ 15.95 M', '$ 15.79 M', '$ 15.63 M', '$ 15.40 M', '$ 15.25 M', '$ 15.12 M', '$ 15.20 M', '$ 16.47 M', '$ 14.96 M', '$ 14.46 M', '$ 14.39 M', '$ 14.43 M', '$ 14.16 M', '$ 13.98 M', '$ 1.11 M']",https://images.cryptocompare.com/sparkchart/BUSD/USD/latest.png?ts=1655492400
4,Tether-USDT,https://www.cryptocompare.com/coins/usdt/overview/USD,$ 0.9988,$ 615.07 M,$ 940.70 M,$ 924.04 M,$ 69.14 B,,"['$ 8.59 B', '$ 5.01 B', '$ 1.02 B', '$ 924.16 M', '$ 730.49 M', '$ 610.78 M', '$ 499.98 M', '$ 484.24 M', '$ 412.76 M', '$ 339.94 M', '$ 208.58 M', '$ 206.76 M', '$ 190.98 M', '$ 187.91 M', '$ 183.16 M', '$ 139.72 M', '$ 133.09 M', '$ 126.24 M', '$ 117.06 M', '$ 108.84 M', '$ 92.73 M', '$ 83.30 M', '$ 80.54 M', '$ 80.14 M', '$ 72.60 M', '$ 70.95 M', '$ 69.13 M', '$ 67.12 M', '$ 67.24 M', '$ 61.73 M', '$ 56.92 M', '$ 55.31 M', '$ 53.66 M', '$ 51.04 M', '$ 50.56 M', '$ 48.91 M', '$ 47.02 M', '$ 45.57 M', '$ 41.73 M', '$ 41.34 M', '$ 38.48 M', '$ 38.29 M', '$ 36.40 M', '$ 36.10 M', '$ 34.66 M', '$ 33.67 M', '$ 32.92 M', '$ 32.91 M', '$ 32.28 M', '$ 32.27 M', '$ 31.49 M', '$ 31.46 M', '$ 31.04 M', '$ 28.70 M', '$ 28.10 M', '$ 27.71 M', '$ 26.71 M', '$ 26.48 M', '$ 26.46 M', '$ 26.17 M', '$ 26.09 M', '$ 25.70 M', '$ 25.08 M', '$ 24.42 M', '$ 24.08 M', '$ 23.88 M', '$ 23.67 M', '$ 23.48 M', '$ 21.91 M', '$ 21.09 M', '$ 20.67 M', '$ 20.55 M', '$ 20.14 M', '$ 19.87 M', '$ 19.84 M', '$ 19.36 M', '$ 19.03 M', '$ 18.17 M', '$ 17.84 M', '$ 17.79 M', '$ 17.18 M', '$ 16.97 M', '$ 16.83 M', '$ 15.94 M', '$ 15.68 M', '$ 15.80 M', '$ 15.79 M', '$ 15.63 M', '$ 15.40 M', '$ 15.25 M', '$ 15.12 M', '$ 15.10 M', '$ 15.00 M', '$ 14.96 M', '$ 14.46 M', '$ 14.39 M', '$ 14.43 M', '$ 14.16 M', '$ 13.98 M', '$ 1.11 M']",https://images.cryptocompare.com/sparkchart/USDT/USD/latest.png?ts=1655492400
5,XRP-XRP,https://www.cryptocompare.com/coins/xrp/overview/USD,$ 0.3168,$ 92.78 M,$ 734.65 M,$ 730.44 M,$ 31.68 B,C+,"['$ 389.86 B', '$ 130.32 B', '$ 17.70 B', '$ 69.14 B', '$ 31.68 B', '$ 16.38 B', '$ 55.26 B', '$ 35.02 B', '$ 16.16 B', '$ 5.95 B', '$ 6.41 B', '$ 6.39 B', '$ 8.71 B', '$ 2.27 B', '$ 3.26 B', '$ 7.58 B', '$ 3.95 B', '$ 491.77 M', '$ 2.40 B', '$ 4.78 B', '$ 1.90 B', '$ 204.93 M', '$ 980.81 M', '$ 636.94 M', '$ 536.89 M', '$ 3.60 B', '$ 2.56 B', '$ 2.02 B', '$ 1.83 B', '$ 5.56 B', '$ 1.20 B', '$ 1.27 B', '$ 245.70 M', '$ 1.99 B', '$ 1.51 B', '-', '$ 1.22 B', '$ 2.25 B', '$ 61.15 M', '$ 852.98 M', '$ 3.46 B', '$ 3.90 B', '$ 7.62 B', '$ 55.87 M', '$ 1.17 B', '$ 780.95 M', '$ 88.90 M', '$ 918.24 M', '$ 508.61 M', '$ 22.11 M', '$ 265.69 M', '$ 265.81 M', '$ 854.42 M', '$ 90.98 M', '$ 2.61 B', '$ 110.26 M', '$ 904.10 M', '$ 437.10 M', '$ 456.45 M', '$ 832.27 M', '$ 1.03 B', '$ 37.02 M', '$ 508.65 M', '$ 5.48 B', '$ 817.10 M', '$ 404.50 M', '$ 436.75 M', '$ 66.84 M', '$ 1.35 B', '$ 110.66 M', '$ 588.89 k', '$ 683.50 M', '$ 615.22 M', '$ 233.10 M', '$ 3.56 B', '$ 263.80 M', '$ 88.12 M', '-', '$ 1.15 B', '$ 255.51 M', '$ 129.68 M', '$ 477.60 M', '$ 237.15 M', '$ 260.30 M', '$ 1.41 B', '$ 212.54 M', '$ 749.22 M', '$ 104.26 M', '$ 346.86 M', '$ 288.49 M', '$ 131.24 M', '$ 6.36 B', '$ 1.15 B', '$ 464.92 M', '$ 117.57 k', '$ 221.30 M', '$ 402.49 M', '$ 73.90 M', '$ 21.53 M', '$ 2.50 M']",https://images.cryptocompare.com/sparkchart/XRP/USD/latest.png?ts=1655492400
6,Solana-SOL,https://www.cryptocompare.com/coins/sol/overview/USD,$ 31.30,$ 217.37 M,$ 610.58 M,$ 610.58 M,$ 16.38 B,D,"['B+', 'B+', '', '', 'C+', 'D', '', 'C-', 'B-', 'C', '', 'B', 'B-', 'C', 'C+', 'C', 'B-', 'C-', 'D', '', 'C', 'C', 'C-', 'C-', 'C-', '', 'B-', 'C', 'B-', 'B-', '', 'C-', 'C+', 'D+', '', 'C+', 'D', 'D', 'C', 'C+', 'C+', 'B-', 'C+', '', 'E+', 'C+', 'C', 'B-', 'C+', 'C-', 'C+', 'B-', '', 'C', 'D+', '', 'C-', 'C+', '', '', 'C-', 'D+', 'C+', '', '', 'E', '', 'C', '', 'C', 'D', 'C', '', 'C', '', 'C+', 'C', '', 'B-', '', '', '', 'C+', 'D', '', 'C+', 'C+', 'C', '', 'C', 'C', '', '', 'C', '', 'D+', 'C-', '', 'D', 'E-']",https://images.cryptocompare.com/sparkchart/SOL/USD/latest.png?ts=1655492400
7,USD Coin-USDC,https://www.cryptocompare.com/coins/usdc/overview/USD,$ 0.9999,$ 39.76 M,$ 507.53 M,$ 499.94 M,$ 55.26 B,,"['-1.96%', '-1.83%', '-0.04%', '-0.03%', '0.83%', '1.52%', '-0.01%', '0.21%', '-0.19%', '-0.61%', '-1.55%', '-1.77%', '0.44%', '7.30%', '1.76%', '0.66%', '2.15%', '2.77%', '2.23%', '0.50%', '-0.13%', '2.27%', '0.31%', '4.90%', '1.53%', '4.62%', '1.78%', '2.49%', '2.03%', '1.37%', '0.47%', '0.36%', '18.75%', '0.87%', '9.48%', '-1.23%', '1.61%', '2.18%', '-4.48%', '-2.82%', '3.53%', '1.59%', '2.16%', '1.64%', '0.28%', '3.80%', '0.27%', '0.84%', '1.59%', '-6.35%', '0.87%', '-2.98%', '-0.03%', '7.77%', '-0.64%', '3.97%', '0.98%', '0.92%', '0.97%', '1.66%', '5.37%', '26.80%', '6.90%', '-1.81%', '1.29%', '-0.49%', '-0.30%', '-5.33%', '10.91%', '2.26%', '-2.41%', '7.72%', '-0.93%', '4.43%', '-0.08%', '-2.69%', '-1.08%', '5.76%', '-3.11%', '4.06%', '-0.60%', '0.00%', '1.71%', '2.48%', '0.30%', '0.63%', '4.10%', '3.95%', '1.18%', '4.44%', '4.67%', '0.01%', '1.50%', '2.40%', '-3.41%', '0.00%', '12.68%', '2.88%', '9.81%', '-46.41%']",https://images.cryptocompare.com/sparkchart/USDC/USD/latest.png?ts=1655492400
8,Binance Coin-BNB,https://www.cryptocompare.com/coins/bnb/overview/USD,$ 214.46,$ 31.41 M,$ 484.06 M,$ 484.05 M,$ 35.02 B,C-,"['$ 15.86', '$ 6.394', '$ 0.2359', '$ 0.2457', '$ 8.110', '$ 1.705', '$ 3.908', '$ 57.47', '$ 0.3703', '$ 0.02685', '$ 1.338', '$ 0.9099', '$ 0.4372', '$ 20,474.81', '$ 2.910', '$ 0.006845', '$ 0.8932', '$ 0.2638', '$ 0.6531', '$ 0.9784', '$ 765.98', '$ 0.3651', '$ 2.678', '$ 0.9999', '$ 0.09729', '$ 31.23', '$ 0.5890', '$ 2.228', '$ 4,741.30', '$ 0.08060', '$ 0.1049', '$ 0.8570', '$ 483.16', '$ 1.622', '$ 32.44', '$ 1.381', '$ 0.03863', '$ 1.283', '$ 0.03565', '$ 1.707', '$ 0.02610', '$ 0.08880', '$ 0.6717', '$ 0.5694', '$ 0.002038', '$ 0.1696', '$ 101.60', '$ 0.1926', '$ 4.281', '$ 0.6099', '$ 0.1246', '$ 3.565', '$ 0.09723', '$ 1.350', '$ 20.43', '$ 0.008990', '$ 0.1877', '$ 11.02', '$ 0.01559', '$ 0.001152', '$ 3.152', '$ 0.004387', '$ 0.03476', '$ 0.08219', '$ 0.3849', '$ 18.95', '$ 9.775', '$ 212.33', '$ 354.74', '$ 0.03526', '$ 0.009011', '$ 0.1747', '$ 0.05291', '$ 0.1747', '$ 0.1993', '$ 1.206', '$ 0.005323', '$ 0.2507', '$ 0.1650', '$ 1.384', '$ 16.36', '$ 0.1953', '$ 0.8045', '$ 7.906', '$ 0.3196', '$ 0.08581', '$ 16.53', '$ 5.080', '$ 112.15', '$ 45.78', '$ 0.05334', '$ 0.2355', '$ 0.7920', '$ 0.1861', '$ 19.79', '$ 0.05831', '$ 0.4118', '$ 17.76', '$ 0.3279', '$ 0.1151']",https://images.cryptocompare.com/sparkchart/BNB/USD/latest.png?ts=1655492400
9,Cardano-ADA,https://www.cryptocompare.com/coins/ada/overview/USD,$ 0.4828,$ 80.15 M,$ 413.57 M,$ 412.55 M,$ 16.15 B,B-,"['$ 46.38 M', '$ 42.30 M', '$ 7.88 M', '$ 807.20 k', '$ 1.27 M', '$ 342.19', '$ 6.29 M', '$ 9.52 M', '$ 6.04 M', '-', '$ 5.73 M', '-', '$ 2.30 M', '$ 4.34 M', '$ 32.87', '$ 1.23 M', '$ 3.65 M', '$ 2.40 M', '$ 3.89 M', '$ 5.40 M', '$ 3.52 M', '$ 119.45 k', '$ 1.70 M', '$ 5.99 M', '$ 4.55 M', '$ 2.45 M', '$ 750.20 k', '$ 410.12 k', '$ 4.79 M', '$ 1.28 M', '$ 27.69 k', '$ 750.72 k', '$ 610.92 k', '$ 721.18 k', '$ 2.76 M', '$ 578.75 k', '-', '$ 1.04 M', '$ 62.21 k', '$ 1.26 M', '$ 150.80 k', '$ 789.57 k', '$ 3.75 M', '$ 490.28 k', '$ 1,793.06', '$ 1.02 M', '$ 931.71', '$ 25.30 k', '$ 290.50 k', '$ 229.69 k', '$ 3,400.12', '-', '$ 839.27 k', '$ 30.30 k', '$ 747.52 k', '$ 1.11 M', '$ 69.47', '$ 167.13 k', '-', '-', '$ 304.33 k', '$ 7,200.33', '-', '$ 340.60 k', '-', '$ 212.42 k', '$ 56.61 k', '-', '-', '-', '$ 0', '$ 58.74 k', '-', '-', '-', '$ 68.62 k', '-', '-', '$ 398.98 k', '$ 0', '$ 186.97 k', '$ 9,021.44', '$ 177.39 k', '$ 114.16 k', '-', '$ 0', '$ 245.77 k', '$ 252.86 k', '$ 82.20 k', '$ 173.70 k', '-', '$ 0', '$ 145.47 k', '-', '$ 69.92 k', '$ 0', '-', '-', '-', '-']",https://images.cryptocompare.com/sparkchart/ADA/USD/latest.png?ts=1655492400
10,TRON-TRX,https://www.cryptocompare.com/coins/trx/overview/USD,$ 0.05998,$ 30.89 M,$ 345.20 M,$ 339.80 M,$ 5.95 B,C,"['$ 209.28 M', '$ 215.46 M', '$ 80.27 M', '$ 53.66 M', '$ 41.76 M', '$ 41.33 M', '$ 38.38 M', '$ 32.96 M', '$ 32.29 M', '$ 31.52 M', '$ 31.54 M', '$ 30.89 M', '$ 26.55 M', '$ 24.69 M', '$ 23.84 M', '$ 20.58 M', '$ 19.87 M', '$ 19.36 M', '$ 17.88 M', '$ 16.87 M', '$ 15.79 M', '$ 15.62 M', '$ 15.25 M', '$ 15.21 M', '$ 13.76 M', '$ 12.17 M', '$ 12.54 M', '$ 11.35 M', '$ 13.07 M', '$ 11.58 M', '$ 9.58 M', '$ 9.46 M', '$ 8.33 M', '$ 8.42 M', '$ 8.10 M', '$ 7.21 M', '$ 7.12 M', '$ 6.74 M', '$ 6.74 M', '$ 6.68 M', '$ 6.60 M', '$ 5.27 M', '$ 5.22 M', '$ 5.22 M', '$ 5.01 M', '$ 4.87 M', '$ 4.81 M', '$ 4.55 M', '$ 4.19 M', '$ 4.15 M', '$ 3.82 M', '$ 3.35 M', '$ 3.13 M', '$ 2.66 M', '$ 2.34 M', '$ 2.37 M', '$ 2.05 M', '$ 1.82 M', '$ 1.67 M', '$ 1.68 M', '$ 1.57 M', '$ 1.51 M', '$ 1.44 M', '$ 1.31 M', '$ 1.10 M', '$ 981.32 k', '$ 913.16 k', '$ 866.07 k', '$ 795.61 k', '$ 792.12 k', '$ 747.89 k', '$ 1.23 M', '$ 713.56 k', '$ 688.48 k', '$ 684.81 k', '$ 779.07 k', '$ 647.75 k', '$ 536.21 k', '$ 471.58 k', '$ 446.77 k', '$ 422.26 k', '$ 734.93 k', '$ 470.09 k', '$ 379.24 k', '$ 358.59 k', '$ 540.14 k', '$ 561.38 k', '$ 243.47 k', '$ 208.47 k', '$ 175.25 k', '$ 161.11 k', '$ 164.46 k', '$ 158.18 k', '$ 147.26 k', '$ 92.26 k', '$ 89.88 k', '$ 85.42 k', '$ 78.00 k', '$ 70.60 k', '$ 67.88 k']",https://images.cryptocompare.com/sparkchart/TRX/USD/latest.png?ts=1655492400
11,Avalanche-AVAX,https://www.cryptocompare.com/coins/avax/overview/USD,$ 15.85,$ 46.36 M,$ 209.00 M,$ 208.79 M,$ 6.42 B,,"['$ 209.06 M', '$ 207.10 M', '$ 80.27 M', '$ 53.66 M', '$ 41.73 M', '$ 41.33 M', '$ 38.38 M', '$ 32.96 M', '$ 32.29 M', '$ 31.52 M', '$ 31.54 M', '$ 28.71 M', '$ 26.52 M', '$ 24.42 M', '$ 23.69 M', '$ 20.58 M', '$ 19.87 M', '$ 19.36 M', '$ 17.88 M', '$ 16.87 M', '$ 15.79 M', '$ 15.62 M', '$ 15.25 M', '$ 15.10 M', '$ 13.76 M', '$ 12.17 M', '$ 11.88 M', '$ 11.35 M', '$ 11.12 M', '$ 10.87 M', '$ 9.58 M', '$ 9.37 M', '$ 8.33 M', '$ 7.59 M', '$ 7.58 M', '$ 7.21 M', '$ 7.12 M', '$ 6.74 M', '$ 6.74 M', '$ 6.68 M', '$ 6.36 M', '$ 5.24 M', '$ 5.22 M', '$ 5.16 M', '$ 4.93 M', '$ 4.87 M', '$ 4.81 M', '$ 4.33 M', '$ 4.19 M', '$ 4.09 M', '$ 3.82 M', '$ 3.23 M', '$ 3.13 M', '$ 2.66 M', '$ 2.34 M', '$ 2.33 M', '$ 2.05 M', '$ 1.82 M', '$ 1.67 M', '$ 1.68 M', '$ 1.57 M', '$ 1.51 M', '$ 1.44 M', '$ 1.31 M', '$ 1.10 M', '$ 940.88 k', '$ 913.16 k', '$ 866.07 k', '$ 795.61 k', '$ 792.12 k', '$ 740.64 k', '$ 730.38 k', '$ 713.56 k', '$ 688.48 k', '$ 684.81 k', '$ 672.04 k', '$ 647.75 k', '$ 536.21 k', '$ 471.58 k', '$ 446.77 k', '$ 422.26 k', '$ 413.79 k', '$ 383.76 k', '$ 379.24 k', '$ 358.59 k', '$ 352.76 k', '$ 254.72 k', '$ 243.47 k', '$ 208.47 k', '$ 175.25 k', '$ 161.11 k', '$ 164.46 k', '$ 158.18 k', '$ 147.26 k', '$ 92.26 k', '$ 89.88 k', '$ 85.42 k', '$ 78.00 k', '$ 70.60 k', '$ 64.97 k']",https://images.cryptocompare.com/sparkchart/AVAX/USD/latest.png?ts=1655492400
12,Chainlink-LINK,https://www.cryptocompare.com/coins/link/overview/USD,$ 6.385,$ 42.28 M,$ 215.05 M,$ 206.70 M,$ 6.39 B,B,"['$ 6.42 B', '$ 6.39 B', '$ 637.75 M', '$ 245.70 M', '$ 61.15 M', '$ 852.48 M', '$ 3.91 B', '$ 919.52 M', '$ 508.75 M', '$ 265.79 M', '$ 266.20 M', '$ 90.99 M', '$ 437.20 M', '$ 5.48 B', '$ 436.90 M', '$ 684.50 M', '$ 233.13 M', '$ 263.80 M', '$ 1.15 B', '$ 237.49 M', '$ 748.85 M', '$ 104.18 M', '$ 288.38 M', '$ 6.36 B', '$ 1.01 B', '$ 312.30 M', '$ 883.50 M', '$ 2.24 B', '$ 173.84 M', '$ 92.93 M', '$ 104.87 M', '$ 857.00 M', '$ 19.33 M', '$ 349.57 M', '$ 22.11 M', '$ 138.10 M', '$ 75.04 M', '$ 145.16 M', '$ 35.65 M', '$ 466.56 M', '$ 247.84 M', '$ 177.60 M', '$ 372.79 M', '$ 158.92 M', '$ 3.18 M', '$ 62.85 M', '$ 39.83 M', '$ 72.54 M', '$ 215.36 M', '$ 91.49 M', '$ 124.55 M', '$ 325.99 M', '$ 97.23 M', '$ 135.04 M', '$ 43.41 M', '$ 894.00 M', '$ 18.77 M', '$ 26.34 M', '$ 15.23 M', '$ 11.52 M', '$ 66.19 M', '$ 21.93 M', '$ 346.82 M', '$ 82.18 M', '$ 66.71 M', '$ 30.10 M', '$ 26.66 M', '$ 17.12 M', '$ 28.38 M', '$ 35.26 M', '$ 26.98 M', '$ 174.69 M', '$ 52.91 M', '$ 34.07 M', '$ 34.96 M', '$ 120.56 M', '$ 53.23 M', '$ 25.07 M', '$ 164.98 M', '$ 388.72 M', '$ 47.85 M', '$ 17.16 M', '$ 40.06 M', '$ 86.57 M', '$ 220.00 M', '$ 128.71 M', '$ 165.30 M', '$ 63.42 M', '$ 1.12 B', '$ 45.78 M', '$ 1.02 M', '$ 16.93 M', '$ 42.15 M', '$ 66.11 M', '$ 25.10 M', '$ 29.15 M', '$ 4.12 M', '$ 177.60 M', '$ 36.01 M', '$ 35.70 M']",https://images.cryptocompare.com/sparkchart/LINK/USD/latest.png?ts=1655492400
13,Polkadot-DOT,https://www.cryptocompare.com/coins/dot/overview/USD,$ 7.240,$ 38.21 M,$ 191.14 M,$ 191.14 M,$ 8.72 B,B-,"['', 'B', 'C-', 'C+', 'C', 'C+', 'B-', 'B-', 'C+', 'C+', 'B-', 'C', 'C+', '', '', 'C', 'C', 'C+', 'B-', 'C+', 'C+', 'C', 'C', '', '', 'D', '', 'E+', 'C', 'C-', '', 'D+', 'C-', '', 'D', 'C', '', '', '', 'C+', '', 'C', '', 'C', 'E+', '', '', '', '', '', '', '', 'C', 'C', 'C-', '', 'D+', 'C', '', 'D+', '', 'C-', '', 'C-', 'C-', '', '', '', '', 'D+', 'D+', '', 'C-', 'D', '', 'D+', '', 'D+', '', '', 'D+', 'D+', 'D+', 'D+', '', 'D+', '', '', 'C', '', 'D', 'D+', '', 'E', '', 'D', '', '', '', '']",https://images.cryptocompare.com/sparkchart/DOT/USD/latest.png?ts=1655492400
14,Bitcoin Cash-BCH,https://www.cryptocompare.com/coins/bch/overview/USD,$ 119.08,$ 34.54 M,$ 194.38 M,$ 187.89 M,$ 2.27 B,C,"['-1.37%', '-1.65%', '5.03%', '18.75%', '-4.48%', '-2.87%', '1.72%', '0.98%', '1.62%', '0.91%', '-2.83%', '7.78%', '0.95%', '-1.81%', '-0.27%', '7.88%', '4.44%', '-2.69%', '-2.94%', '1.85%', '4.05%', '3.86%', '4.41%', '0.01%', '-0.36%', '1.96%', '0.00%', '-3.26%', '0.00%', '-6.06%', '-1.90%', '0.59%', '-7.18%', '0.56%', '-8.49%', '1.17%', '1.84%', '-3.24%', '1.68%', '-2.18%', '2.88%', '0.79%', '0.36%', '-6.44%', '1.92%', '-0.47%', '-1.20%', '0.65%', '0.02%', '4.70%', '-0.03%', '1.33%', '4.30%', '-0.98%', '-0.58%', '0.45%', '4.30%', '1.35%', '4.04%', '-12.61%', '0.57%', '-1.86%', '0.78%', '0.31%', '-0.44%', '3.33%', '3.20%', '-1.57%', '-3.49%', '6.29%', '3.68%', '-0.99%', '0.30%', '6.03%', '-1.17%', '4.29%', '-35.32%', '0.61%', '1.10%', '-1.17%', '-0.58%', '1.58%', '3.73%', '-2.84%', '4.89%', '-1.77%', '-2.25%', '-15.61%', '-2.38%', '0.44%', '3.66%', '-0.95%', '-9.91%', '-0.04%', '-0.73%', '1.29%', '-3.33%', '3.53%', '0.42%', '10.31%']",https://images.cryptocompare.com/sparkchart/BCH/USD/latest.png?ts=1655492400
